"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1,C2,C3,C4","C_Small","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","4",""
"C5,C6","0.1 uF X5R 10V","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","2",""
"D1","LED","","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","1",""
"J1","Conn_01x03_Pin","","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-3-5.08_1x03_P5.08mm_Horizontal","1",""
"J2","POWER","","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal","1",""
"J5","To RPico","","Connector_PinSocket_2.54mm:PinSocket_1x04_P2.54mm_Vertical","1",""
"Q1,Q2,Q3,Q4,Q5,Q6","IPP040N06NF2S","","Package_TO_SOT_THT:TO-220-3_Vertical","6",""
"R1,R2,R3,R4,R5,R7,R8,R9,R10,R11,R12,R13,R14,R15","R_Small","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","14",""
"R6","10k","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1",""
"U1","A5932","","Custom:HTSSOP-24-1EP_4.4x7.8mm_P0.65mm_EP3.4x4.75mm_Mask2.4x2.98mm","1",""
